Using request distribution 'zipfian' a keyrange of [0 500000]
***************** properties *****************
"workload"="core"
"scanproportion"="0"
"readallfields"="true"
"readproportion"="0.95"
"operationcount"="500000"
"etcd.endpoints"="127.0.0.1:50051"
"insertproportion"="0"
"recordcount"="500000"
"threadcount"="8"
"updateproportion"="0.05"
"measurementtype"="histogram"
"dotransactions"="true"
"requestdistribution"="zipfian"
"etcd.dial_timeout"="2s"
"command"="run"
**********************************************
UPDATE - Takes(s): 160.0, Count: 11341, OPS: 70.9, Avg(us): 6209, Min(us): 3560, Max(us): 114495, 50th(us): 5843, 90th(us): 7531, 95th(us): 8391, 99th(us): 11479, 99.9th(us): 40767, 99.99th(us): 99583
READ   - Takes(s): 170.0, Count: 229651, OPS: 1350.9, Avg(us): 5586, Min(us): 2320, Max(us): 115903, 50th(us): 5291, 90th(us): 7295, 95th(us): 8127, 99th(us): 10455, 99.9th(us): 26975, 99.99th(us): 74815
TOTAL  - Takes(s): 170.0, Count: 241708, OPS: 1421.9, Avg(us): 5617, Min(us): 2320, Max(us): 115903, 50th(us): 5327, 90th(us): 7311, 95th(us): 8139, 99th(us): 10495, 99.9th(us): 27551, 99.99th(us): 75327
UPDATE - Takes(s): 170.0, Count: 12057, OPS: 70.9, Avg(us): 6207, Min(us): 3560, Max(us): 114495, 50th(us): 5843, 90th(us): 7543, 95th(us): 8367, 99th(us): 11479, 99.9th(us): 39775, 99.99th(us): 99583
READ   - Takes(s): 180.0, Count: 243116, OPS: 1350.7, Avg(us): 5585, Min(us): 2320, Max(us): 119423, 50th(us): 5283, 90th(us): 7291, 95th(us): 8127, 99th(us): 10495, 99.9th(us): 27263, 99.99th(us): 76223
TOTAL  - Takes(s): 180.0, Count: 255932, OPS: 1421.9, Avg(us): 5617, Min(us): 2320, Max(us): 119423, 50th(us): 5323, 90th(us): 7311, 95th(us): 8139, 99th(us): 10543, 99.9th(us): 28223, 99.99th(us): 77503
UPDATE - Takes(s): 180.0, Count: 12816, OPS: 71.2, Avg(us): 6216, Min(us): 3488, Max(us): 119423, 50th(us): 5835, 90th(us): 7543, 95th(us): 8367, 99th(us): 11543, 99.9th(us): 40767, 99.99th(us): 117183
READ   - Takes(s): 190.0, Count: 256257, OPS: 1348.8, Avg(us): 5594, Min(us): 2320, Max(us): 119423, 50th(us): 5291, 90th(us): 7307, 95th(us): 8147, 99th(us): 10543, 99.9th(us): 27359, 99.99th(us): 76095
TOTAL  - Takes(s): 190.0, Count: 269742, OPS: 1419.7, Avg(us): 5625, Min(us): 2320, Max(us): 119423, 50th(us): 5331, 90th(us): 7323, 95th(us): 8163, 99th(us): 10575, 99.9th(us): 28223, 99.99th(us): 76223
UPDATE - Takes(s): 190.0, Count: 13485, OPS: 71.0, Avg(us): 6223, Min(us): 3488, Max(us): 119423, 50th(us): 5843, 90th(us): 7567, 95th(us): 8415, 99th(us): 11479, 99.9th(us): 40767, 99.99th(us): 117183
