Using request distribution 'zipfian' a keyrange of [0 500000]
Setting redis.pool_size=8 (from <threadcount>) given you haven't specified a value.
Using the redis datatype: hash
***************** properties *****************
"redis.mode"="cluster"
"redis.datatype"="hash"
"scanproportion"="0"
"recordcount"="500000"
"threadcount"="8"
"insertproportion"="0"
"measurementtype"="histogram"
"dotransactions"="true"
"redis.addr"="192.168.68.60:8000"
"workload"="core"
"readallfields"="true"
"readproportion"="0.5"
"updateproportion"="0.5"
"requestdistribution"="zipfian"
"command"="run"
"operationcount"="500000"
**********************************************
UPDATE - Takes(s): 130.0, Count: 207458, OPS: 1595.8, Avg(us): 2503, Min(us): 698, Max(us): 135423, 50th(us): 2317, 90th(us): 3207, 95th(us): 3639, 99th(us): 5803, 99.9th(us): 21935, 99.99th(us): 65983
READ   - Takes(s): 140.0, Count: 224521, OPS: 1603.8, Avg(us): 2468, Min(us): 786, Max(us): 135423, 50th(us): 2295, 90th(us): 3175, 95th(us): 3587, 99th(us): 5571, 99.9th(us): 21231, 99.99th(us): 66047
TOTAL  - Takes(s): 140.0, Count: 448154, OPS: 3201.1, Avg(us): 2485, Min(us): 698, Max(us): 135423, 50th(us): 2307, 90th(us): 3189, 95th(us): 3607, 99th(us): 5663, 99.9th(us): 21631, 99.99th(us): 66303
UPDATE - Takes(s): 140.0, Count: 223633, OPS: 1597.4, Avg(us): 2501, Min(us): 698, Max(us): 135423, 50th(us): 2319, 90th(us): 3201, 95th(us): 3625, 99th(us): 5755, 99.9th(us): 21471, 99.99th(us): 73535
READ   - Takes(s): 150.0, Count: 241863, OPS: 1612.5, Avg(us): 2455, Min(us): 786, Max(us): 135423, 50th(us): 2281, 90th(us): 3159, 95th(us): 3575, 99th(us): 5527, 99.9th(us): 20895, 99.99th(us): 63647
TOTAL  - Takes(s): 150.0, Count: 482842, OPS: 3219.0, Avg(us): 2471, Min(us): 698, Max(us): 135423, 50th(us): 2293, 90th(us): 3175, 95th(us): 3591, 99th(us): 5595, 99.9th(us): 20895, 99.99th(us): 66047
UPDATE - Takes(s): 150.0, Count: 240979, OPS: 1606.6, Avg(us): 2487, Min(us): 698, Max(us): 135423, 50th(us): 2305, 90th(us): 3189, 95th(us): 3609, 99th(us): 5679, 99.9th(us): 20895, 99.99th(us): 66303
**********************************************
Run finished, takes 2m35.087729539s
READ   - Takes(s): 155.1, Count: 250470, OPS: 1615.1, Avg(us): 2449, Min(us): 786, Max(us): 135423, 50th(us): 2277, 90th(us): 3155, 95th(us): 3571, 99th(us): 5503, 99.9th(us): 20895, 99.99th(us): 63615
TOTAL  - Takes(s): 155.1, Count: 500000, OPS: 3224.0, Avg(us): 2466, Min(us): 698, Max(us): 135423, 50th(us): 2289, 90th(us): 3171, 95th(us): 3587, 99th(us): 5579, 99.9th(us): 21471, 99.99th(us): 65983
UPDATE - Takes(s): 155.1, Count: 249530, OPS: 1609.0, Avg(us): 2482, Min(us): 698, Max(us): 135423, 50th(us): 2299, 90th(us): 3185, 95th(us): 3607, 99th(us): 5667, 99.9th(us): 21935, 99.99th(us): 66111
